GENERATION,SPECIES,GENOME,PROB
1000,1,1,0.91
1000,1,2,1
1000,1,3,1
1000,1,4,1
1000,1,5,0.94
1000,1,6,0.83
1000,1,7,1
1000,1,8,1
1000,1,9,1
1000,1,10,0.87
1000,1,11,1
1000,1,12,0.35
1000,1,13,1
1000,1,14,1
1000,1,15,1
1000,1,16,0.53
1000,1,17,0.51
1000,1,18,0.91
1000,1,19,1
1000,1,20,0.77
1000,1,21,0.72
1000,1,22,0.91
1000,1,23,1
1000,1,24,1
1000,1,25,1
1000,1,26,0.73
1000,1,27,1
1000,1,28,0.89
1000,1,29,1
1000,1,30,1
1000,1,31,1
1000,2,1,1
1000,2,2,0.97
1000,2,3,1
1000,2,4,1
1000,2,5,1
1000,2,6,1
1000,2,7,0.87
1000,2,8,1
1000,2,9,1
1000,2,10,1
1000,2,11,1
1000,2,12,0.92
1000,2,13,1
1000,2,14,1
1000,2,15,0.95
1000,2,16,1
1000,2,17,1
1000,2,18,1
1000,2,19,1
1000,2,20,1
1000,2,21,0.89
1000,2,22,1
1000,2,23,1
1000,2,24,0.94
1000,2,25,0.86
1000,2,26,1
1000,2,27,1
1000,2,28,1
1000,2,29,0.98
1000,2,30,1
1000,2,31,1
1000,2,32,1
1000,2,33,1
1000,2,34,1
1000,2,35,1
1000,2,36,1
1000,3,1,1
1000,3,2,1
1000,3,3,1
1000,3,4,1
1000,3,5,1
1000,3,6,1
1000,3,7,1
1000,3,8,1
1000,3,9,1
1000,3,10,1
1000,3,11,1
1000,3,12,1
1000,3,13,1
1000,3,14,1
1000,3,15,1
1000,3,16,1
1000,3,17,1
1000,3,18,0
1000,3,19,1
1000,3,20,0.88
1000,3,21,0
1000,3,22,0.16
1000,3,23,1
1000,3,24,1
1000,3,25,1
1000,3,26,1
1000,3,27,1
1000,3,28,1
1000,3,29,1
1000,3,30,1
1000,3,31,1
1000,3,32,1
1000,3,33,1
1000,3,34,1
1000,3,35,1
1000,3,36,1
1000,3,37,1
1000,3,38,1
1000,3,39,1
1000,3,40,1
1000,3,41,1
1000,3,42,1
1000,3,43,1
1000,3,44,1
1000,3,45,1
1000,3,46,1
1000,4,1,1
1000,4,2,1
1000,4,3,1
1000,4,4,1
1000,4,5,1
1000,4,6,1
1000,4,7,0.92
1000,4,8,1
1000,4,9,1
1000,4,10,1
1000,4,11,1
1000,4,12,1
1000,4,13,0.91
1000,4,14,1
1000,4,15,1
1000,4,16,1
1000,4,17,1
1000,4,18,0.91
1000,4,19,1
1000,4,20,1
1000,4,21,1
1000,4,22,1
1000,4,23,1
1000,4,24,1
1000,4,25,1
1000,4,26,1
1000,4,27,1
1000,4,28,1
1000,4,29,1
1000,4,30,1
1000,4,31,1
1000,4,32,1
1000,4,33,1
1000,4,34,0.62
1000,4,35,1
1000,4,36,1
1000,4,37,1
